ID,Has_Pool,Num_Bathrooms,Num_Bedrooms,Square_Feet,Year_Built,Price
0,0,1,2,120.23362742184518,1938,431988.4593272602
1,0,3,3,288.7163201657985,1935,684319.6904553123
2,0,3,3,250.54924518850996,1935,685065.8715143484
3,0,2,4,287.651786734389,2013,758604.9549524651
4,1,3,1,110.51381787787513,1920,478489.2990271106
5,0,1,1,85.021003809131,1978,381658.9277038974
6,1,2,2,139.61643213606817,1940,450110.738621216
7,1,2,5,58.5971302788046,1963,531302.3551580417
8,0,3,5,180.6832073454985,2017,802007.1725493568
9,1,3,1,237.71776694787437,2012,706023.9823357714
10,1,1,1,224.1842913410377,1925,402540.8180670261
11,1,2,3,276.3454941048159,1947,721719.2049035277
12,0,3,2,98.81074694951111,1909,399136.54228750034
13,1,1,3,232.401544584516,1904,572360.649869456
14,0,1,1,69.4336592412462,2004,405324.9502010681
15,1,1,5,168.5434572718313,1913,587410.5474489208
16,1,2,1,130.80073300518882,1911,385122.3470563931
17,1,2,1,120.50864314282664,1981,507320.7149410282
18,0,1,2,179.07508707529882,1927,446084.3689894087
19,0,2,1,225.75473972379447,1983,515014.3901029074
20,0,3,4,90.73360677035744,1986,554926.4743451616
21,0,1,1,211.36807397679195,1953,413971.7762192848
22,1,1,5,200.2787529358022,1988,738269.852342477
23,1,1,2,77.51298113191919,2020,547289.7132781518
24,1,2,3,96.62962759996356,1937,475302.09777242725
25,1,2,3,106.6239437994845,1922,475921.4484587496
26,1,3,1,123.03616213380454,1932,437751.6430154121
27,1,3,3,126.15344229334268,1972,584118.0468036479
28,1,1,4,285.0575603562394,1964,793370.5055574682
29,1,2,4,214.40322307508583,1951,717337.6745883166
30,1,3,2,148.2744311666901,1990,560131.5152863493
31,1,2,3,57.62506248476236,1933,461988.4774864058
32,0,1,5,74.45854016275037,1970,553278.0572660788
33,1,1,5,62.92043029215192,1986,583022.7819031078
34,0,2,4,205.82453170688947,1912,583738.7201407257
35,0,3,5,69.24497745719825,1997,644587.4937557759
36,1,3,5,253.61712064723395,1951,854374.5244547976
37,0,3,1,232.99848545285127,1923,464478.6968798775
